webId,erpProductId,erpSku,erpName,siteName,siteSlug,collection,sitePriceToman,isNew,nameDiffers
MOAK-265OW-TRANSPARENT,cmjsn3zgh000wflkac4vua9db,265W/TRNS,"265ºW - Transparent","265ºW - Transparent",265ow-transparent,"ON A MISSION",14700000,,
MOAK-80OE-BLACK,cmjsn3yss000vflkakc9jj1yj,80E/BLK,"80ºE - Black","80ºE - Black",80oe-black,"ON A MISSION",21500000,,
MOAK-80OE-GREEN,cmjsn3y96000uflka4ix3tqr5,80E/GREN,"80ºE - Green","80ºE - Green",80oe-green,"ON A MISSION",21500000,,
MOAK-80OE-TRANSPARENT,cmjsn3xl0000tflkaapkxdelg,80E/TRNS,"80ºE - Transparent","80ºE - Transparent",80oe-transparent,"ON A MISSION",21500000,,
MOAK-230OW-HAVANA,cmjsn3wyt000sflka5tcmo6r0,230W/HVNA,"230ºW - Havana","230ºW - Havana",230ow-havana,"ON A MISSION",14500000,,
MOAK-230OW-YELLOW,cmjsn3wal000rflka5vzr84qg,230W/YELO,"230ºW - Yellow","230ºW - Yellow",230ow-yellow,"ON A MISSION",14500000,,
MOAK-230OW-BLACK,cmjsn3vqy000qflka6ctdos59,230W/BLK,"230ºW - Black","230ºW - Black",230ow-black,"ON A MISSION",14500000,,
MOAK-250OW-GREEN,cmjsn3v97000pflka29w1322u,250W/GREN,"250ºW - Green","250ºW - Green",250ow-green,"ON A MISSION",17800000,,
MOAK-250OW-RED,cmjsn3ukq000oflkauwa4r1b7,250W/RED,"250ºW - Red","250ºW - Red",250ow-red,"ON A MISSION",17800000,,
MOAK-250OW-BLACK,cmjsn3twf000nflkaj22p6fas,250W/BLK,"250ºW - Black","250ºW - Black",250ow-black,"ON A MISSION",17800000,,
MOAK-290OW-BROWN,cmjsn3ta5000mflkay26z8ggt,290W/BRWN,"290ºW - Brown","290ºW - Brown",290ow-brown,"ON A MISSION",15200000,,
MOAK-290OW-GREEN,cmjsn3so4000lflka0ivqoaw1,290W/GREN,"290ºW - Green","290ºW - Green",290ow-green,"ON A MISSION",15200000,,
MOAK-290OW-HAVANA,cmjsn3rv7000kflkaxjoz2oo1,290W/HVNA,"290ºW - Havana","290ºW - Havana",290ow-havana,"ON A MISSION",15200000,,
MOAK-300OW-BLACK,cmjsn3r96000jflka37mjgtmm,300W/BLK,"300ºW - Black","300ºW - Black",300ow-black,"ON A MISSION",19500000,,
MOAK-300OW-BLUE,cmjsn3qpa000iflkabjr13i5y,300W/BLUE,"300ºW - Blue","300ºW - Blue",300ow-blue,"ON A MISSION",19500000,,
MOAK-300OW-YELLOW,cmjsn3q0u000hflkake2y7h8e,300W/YELO,"300ºW - Yellow","300ºW - Yellow",300ow-yellow,"ON A MISSION",19500000,,
MOAK-310OW-BLACK,cmjsn3pf1000gflka8oa6s5ea,310W/BLK,"310ºW - Black","310ºW - Black",310ow-black,"ON A MISSION",10800000,,
MOAK-310OW-BROWN,cmjsn3ov8000fflkatdtifwz2,310W/BRWN,"310ºW - Brown","310ºW - Brown",310ow-brown,"ON A MISSION",10800000,,
MOAK-310OW-HAVANA,cmjsn3o1w000eflka0k9y16r8,310W/HVNA,"310ºW - Havana","310ºW - Havana",310ow-havana,"ON A MISSION",10800000,,
MOAK-320OW-BLACK,cmjsn3nfn000dflkab6kx7o2i,320W/BLK,"320ºW - Black","320ºW - Black",320ow-black,"ON A MISSION",16700000,,
MOAK-320OW-BLUE,cmjsn3moo000cflkabdc3rsn1,320W/BLUE,"320ºW - Blue","320ºW - Blue",320ow-blue,"ON A MISSION",16700000,,
MOAK-320OW-HAVANA,cmjsn3m0h000bflkaplqli8i4,320W/HVNA,"320ºW - Havana","320ºW - Havana",320ow-havana,"ON A MISSION",16700000,,
MOAK-SE-GREEN,cmjsn3li5000aflka9m20cxap,SE/GREN,"SE - Green","SE - Green",themoak-se-green-mint-sunglasses,"ON A MISSION",9400000,,
MOAK-CHAR-HAVANA,cmjsn3l0v0009flkajbwmyrur,CHAR/HAVANA,"CHAR -  Havana","CHAR -  Havana",char-havana,"ON A MISSION",10500000,,
MOAK-VERIDA-HAVANA,cmjsn3kjc0008flkahf602qk6,VERIDA,"VERIDA","VERIDA",verida-havana-the-new-language,"THE NEW LANGUAGE",20000000,,
MOAK-STELLAN-BROWN,cmjsn3k1x0007flkazy8yxaeo,STELLAN,"STELLAN","STELLAN",stellan,"THE NEW LANGUAGE",15500000,,
